Year,Month,Point1,Point2,Point3,Point4
1951,1,0.0,0.0,0.0,0.0
1951,2,0.0,0.0,0.0,0.0
1951,3,0.0,0.0,0.0,0.0
1951,4,9.1127715,25.0317864,25.0317864,50.0635728
1951,5,43.04894254,53.984654500000005,53.984654500000005,107.96930900000001
1951,6,75.24489501,91.26973883,91.26973883,182.53947766
1951,7,198.72122380000005,73.47836753,73.47836753,146.95673506
1951,8,32.38458098,23.3035764,23.3035764,46.6071528
1951,9,100.14590177,71.90636209,71.90636209,143.81272418
1951,10,121.77116582999999,123.66782749,123.66782749,247.33565498
1951,11,7.3840334,18.13346266,18.13346266,36.26692532
1951,12,0.0,0.0,0.0,0.0
1952,1,0.0,0.0,0.0,0.0
1952,2,2.3870633,2.3659186,2.3659186,4.7318372
1952,3,0.0,0.0,0.0,0.0
1952,4,40.77882778,71.39012452,71.39012452,142.78024904
1952,5,25.140332739999998,67.94629660000001,67.94629660000001,135.89259320000002
1952,6,82.84991704999999,111.99271602999998,111.99271602999998,223.98543205999997
1952,7,46.63644494000001,78.00749877,78.00749877,156.01499754
1952,8,35.47602742,84.47266974000001,84.47266974000001,168.94533948000003
1952,9,48.501851200000004,18.93856432,18.93856432,37.87712864
1952,10,174.19866677,141.3156074,141.3156074,282.6312148
1952,11,0.0,0.0,0.0,0.0
1952,12,0.0,3.3247752,3.3247752,6.6495504
1953,1,0.0,0.0,0.0,0.0
1953,2,0.0,0.0,0.0,0.0
1953,3,0.0,0.0,0.0,0.0
1953,4,66.97562715,35.67119048000001,35.67119048000001,71.34238096000001
1953,5,0.33995765,1.269199,1.269199,2.538398
1953,6,121.09127624999998,106.52164214000001,106.52164214000001,213.04328428000002
1953,7,125.13341582000001,164.03033745000002,164.03033745000002,328.06067490000004
1953,8,59.45933762,72.864041535,72.864041535,145.72808307
1953,9,99.98149631000001,99.22315885,99.22315885,198.4463177
1953,10,208.33626891,256.88549121999995,256.88549121999995,513.7709824399999
1953,11,0.0,0.0,0.0,0.0
1953,12,0.0,0.0,0.0,0.0
1954,1,0.0,0.0,0.0,0.0
1954,2,0.0,0.0,0.0,0.0
1954,3,14.84227995,16.718474165,16.718474165,33.43694833
1954,4,11.575327770000001,12.1047124,12.1047124,24.2094248
1954,5,66.67168144,70.42918019,70.42918019,140.85836038
1954,6,74.52848295999998,31.865110935,31.865110935,63.73022187
1954,7,151.50384203999994,229.103578245,229.103578245,458.20715649
1954,8,112.622087534,87.18357542,87.18357542,174.36715084
1954,9,34.10804231,20.71343107,20.71343107,41.42686214
1954,10,103.9620171,87.69071876000001,87.69071876000001,175.38143752000002
1954,11,0.0,0.0,0.0,0.0
1954,12,10.5386885,14.697112400000002,14.697112400000002,29.394224800000003
1955,1,0.0,0.0,0.0,0.0
1955,2,0.0,0.0,0.0,0.0
1955,3,13.148004779999999,12.3016279,12.3016279,24.6032558
1955,4,1.46130782,28.36787096,28.36787096,56.73574192
1955,5,25.80511691,94.91611105000001,94.91611105000001,189.83222210000002
1955,6,57.67368534,109.3106174,109.3106174,218.6212348
1955,7,57.43947464,77.18132865999999,77.18132865999999,154.36265731999998
1955,8,97.93163854000001,94.14520388999999,94.14520388999999,188.29040777999998
1955,9,240.80053675000002,208.0129645,208.0129645,416.025929
1955,10,211.34889779999997,187.37612482000003,187.37612482000003,374.75224964000006
1955,11,21.95219,38.219498,38.219498,76.438996
1955,12,0.0,0.0,0.0,0.0
1956,1,0.0,0.0,0.0,0.0
1956,2,0.0,0.0,0.0,0.0
1956,3,0.0,0.0,0.0,0.0
1956,4,16.938462299999998,10.93962107,10.93962107,21.87924214
